words,RMSE,trend_points
in,12.410382387201262,9
2011,14.648768573923581,6
visit,17.196537686003058,2
for,10.561977862037642,8
the,8.938089872310366,9
best,8.890888755017516,9
summer,14.137821486945588,6
want,8.852172676294831,8
to,9.922162369204797,8
get,9.783204998613614,8
of,9.388640563077224,9
nyc,18.123896055304602,4
or,10.858680951016748,7
tickets,15.225698614042148,5
our,8.607086705528252,7
?,8.20638314632612,9
!,9.486444479158765,10
,10.036485964513613,10
are,8.70732952549417,8
you,7.678995637678549,5
omg,8.66545946603836,7
i'm,9.195746014963824,8
so,8.541762881401079,8
a,9.485818010331027,11
work,17.049686509979704,10
week,13.627287958314174,6
isn't,12.914140648824796,5
right,10.495372304810035,9
start,11.762019689848794,5
your,8.91099488480758,5
monday,17.885918958453644,9
with,10.166452296931146,9
am,9.688644230936898,10
call,15.037110678579353,7
.,8.640758126673772,10
;),10.599040846684455,6
has,12.283695349583885,10
some,10.07852455370774,6
amazing,8.986844505731609,4
things,10.107498507778258,6
-,11.959110463992605,9
40,15.455709529082194,6
years,8.757465517442917,5
ago,11.77090972147344,5
on,8.985185534987801,9
days,12.503025987592007,5
number,11.220482923138663,3
1,5.34060575405992,8
...,9.949622009618974,8
is,9.228435953050145,9
words,8.459787773604743,3
..,10.545760375311339,8
this,8.309122340742144,7
feeling,9.732686991033923,4
ever,7.809753908251855,5
we,7.302920442979138,8
guys,10.488207244666244,7
world,8.947757552701164,7
and,8.880004849760295,9
won't,11.599444641031933,6
let,10.77201194584014,7
u,7.648828558572217,8
down,10.74741905946593,7
love,8.185918027014969,6
all,9.771354758687544,10
x,9.666174996381839,5
5,14.471331655380945,8
:,11.208094988043868,8
learn,14.525586188765399,4
better,8.14466717881242,8
live,7.053322791548891,7
it,9.298598890677678,7
listen,12.95694350819397,3
change,13.037378352217193,5
girl,9.076876884725078,6
sweet,8.753726523720333,6
pic,13.924526678617731,5
was,8.804619864052086,6
up,9.868939879620338,6
have,8.61250044788431,9
back,8.037668621551314,6
form,9.676057840679515,2
#,10.125125093901175,3
new,16.669484286772303,7
michael,13.80240094477712,5
song,8.452989041305193,9
"""",7.5065763816224536,6
@,9.488665083649384,9
word,13.658957018262742,7
ain't,11.495627032503256,9
it's,9.341197173573962,8
stupid,12.579689549887169,5
ones,14.78036647993688,5
that,9.195684730640254,11
need,9.026738461182578,7
advice,16.057137424045195,6
make,8.27195048188263,6
me,9.393816161856563,7
feel,13.30594033847437,6
warm,18.21486011302601,1
inside,19.088725629049137,4
like,8.119395731069922,7
i,8.339398048090036,8
&,11.638735616890031,8
now,9.235381866582095,8
my,9.598699483721687,6
rt,9.466697302107233,8
follow,10.085687150982594,6
yu,7.576748900449388,8
30,8.75569902530913,3
minutes,13.525251762054394,5
not,9.395034116107007,8
i'll,9.85854927023192,5
give,10.826956721358576,8
good,9.229888802537298,11
see,9.33174204978368,9
twitter,8.709427981073333,6
:-),10.741127691358916,4
how,14.349552475143408,6
r,12.748025069083539,7
n,11.514922499880006,7
will,8.38698984571829,7
tell,12.144077504388434,7
friends,13.503899396808373,7
just,8.215085946511605,6
company,18.703735871643886,6
excited,12.200923366759612,9
there,10.794526547979864,8
two,9.979360765264182,7
success,13.5064355231729,14
life,12.537980011543175,9
don't,9.324759807759158,8
people,9.213344643730194,8
everything,12.683802663907949,3
know,9.391342331990923,8
they,8.73850648813171,8
sent,13.456504438123696,5
guy,9.156766829385464,7
message,16.519143755377783,3
said,10.356351160829787,6
where,8.093330223334238,7
office,22.494685774853217,5
watched,14.927032597880352,5
as,10.556715865456624,9
show,8.44589895975327,9
you're,9.984143368370944,6
favorite,12.227632311826602,11
an,11.185479470327564,7
top,10.008870670741715,5
10,14.386352606399422,10
using,13.91465754515461,7
thanks,10.605893725576566,3
wish,9.856763014701883,7
fat,19.861658196796757,5
us,12.777524789584152,7
send,18.783839325542512,4
from,12.945423095159029,7
please,9.493777482725434,5
maybe,10.262970295941503,6
would,8.811822125857722,10
do,9.480167659131178,6
cause,9.987931592677969,7
pain,14.594879754113524,5
blog,20.595953999705664,7
search,14.723385900718307,5
(,9.989186452496556,7
),9.38093102533242,7
exactly,14.34658593122009,6
many,11.799415567439407,8
special,12.557913805057392,3
choose,15.381850648348669,2
girls,7.066321382512945,8
go,10.780385027084439,11
bad,8.775589011302063,7
writing,14.700089435806593,6
songs,8.99029746484752,4
beach,15.84743628017423,6
walking,19.60638665533325,7
dog,13.308525972692323,6
lots,14.465304730386435,3
places,18.77432316692189,5
be,9.631413436742662,7
press,17.482970274522074,7
any,10.724691936019914,7
key,16.37818959390428,3
continue,15.905342033923635,4
finally,11.423965846769017,5
read,13.51144236266882,4
great,8.415570055015488,10
job,18.35304895684986,7
3,31.787363485013234,6
dreams,12.234887194325534,5
seen,8.92516855442916,8
real,18.137871541061703,9
mind,12.876495864985683,7
does,12.353050618926073,5
them,10.692566300506364,7
bed,11.982241900087345,6
interesting,17.253976037466426,9
why,9.42276023771344,9
games,12.194984324117382,5
never,5.8925607766937125,7
came,10.56751212700105,6
>,14.274178912915003,4
health,13.811172618311213,8
did,9.403130782160737,11
something,10.428421425026158,9
couldn't,13.080114996454261,5
done,15.150450302542348,5
almost,14.855264510742149,5
country,5.8814111154773485,5
yall,10.851525516722067,10
find,11.828034519818168,6
under,13.786153374030482,8
lucky,13.954075272844705,2
(:,13.303337389392736,5
even,10.849683362085766,11
though,11.001263074422251,9
walk,13.192243132879975,5
through,13.791247851903504,8
death,14.660167864575687,3
no,9.412437620738427,9
cont,12.419107997064307,5
when,9.0393627500767,9
“,11.540420738434774,7
most,11.562647965368344,7
times,12.417307783106116,5
had,10.987577730908892,6
hope,10.876080677440504,7
looks,9.367729112047499,6
pretty,9.50548372250308,7
tonight,12.013574013598886,5
yeah,10.144405566245618,11
min,13.010519279816528,5
later,11.592043694730194,5
hahahaha,13.258941350800749,5
what,9.637814659342204,7
who,10.273443550191109,9
god,10.34473076913054,6
forget,14.827789557749055,3
2,8.100904168816006,6
hours,10.407496549609514,8
bring,9.71354683966939,5
forgot,13.326202068923132,5
@justinbieber,12.973725101002776,6
hello,8.126973821492925,8
m,14.061664769136204,6
well,9.246260246205738,8
remember,11.408524303923876,4
old,8.80462929481091,8
man,10.338365433001233,9
`,15.002961293716435,2
s,13.104066834017315,10
way,10.398608682778498,7
saying,11.449561979495433,7
got,9.036888840439925,8
about,12.097235923548551,7
weekend,14.652712712203245,4
day,10.84101079729975,8
can,10.258083948395948,9
join,12.501685257078304,8
few,11.471339135120301,7
asked,11.9899397299256,4
really,9.334604605622443,5
didn't,9.211633360014268,9
room,11.496942426855984,8
whole,10.72551852807634,6
story,16.929111252703827,5
saw,10.380074654834603,7
out,10.580035281373853,7
o,10.195985335540593,5
think,8.603144744514859,10
iphone,20.363791083616615,5
app,17.357947404411565,5
obama,8.526326460793243,10
should,8.704675692979311,8
mean,7.083663741683455,6
nothing,10.467623605132841,8
after,10.910742508758391,8
much,10.096400785679245,7
she,8.901200535091878,8
into,12.914885008889144,8
soul,18.640416361893877,6
clothes,15.938407875328398,5
7,19.846208440276616,3
by,11.613432341062273,6
[,12.96509097157975,3
],12.668112552089577,5
la,12.922931064177238,8
da,11.181119435618328,8
at,9.536362272767617,9
long,11.717063534341687,6
dear,12.032660487002264,5
if,3.9177571430948386,7
text,14.26553933867256,3
while,12.206230267294854,5
driving,18.361180780618636,3
meet,14.53536980215297,1
him,8.534571438735142,8
pay,10.20193710200384,6
haven't,12.806194517602824,9
used,10.050146489392226,5
4,12.51268673909463,5
months,15.377699017608643,3
',13.594298769904654,7
book,12.910792577517762,3
tweet,14.370626225884564,8
hate,10.313865595825124,9
but,9.77948068486508,8
mine,8.979443124453935,3
;,12.569824546870429,3
off,9.001827373468,8
<3,11.573261706513303,6
wait,11.069040219652015,10
time,7.835460491402105,10
stand,7.1772994497273,6
whatever,13.049331941366507,7
may,14.172906787144791,8
~,11.647488441527297,5
interview,16.899899389982245,6
al,7.80333005016617,6
tho,11.043848802429304,8
once,11.372473957344093,7
relationship,9.429394527495724,5
peace,13.094300987055558,4
only,11.027687301581782,11
! !,10.966695341215194,10
comes,15.245519384637909,6
pink,16.1526388610174,3
missed,11.637552874440564,7
year,21.961033629781046,7
been,9.185897141909049,8
teacher,7.705252745416336,8
de,10.791503487477351,5
private,7.911134304384032,5
”,12.23313181290665,8
»,17.23643248441598,5
without,13.17926728845234,6
goes,16.85309538855236,7
public,17.911537604345806,5
email,18.49075452307381,6
he,9.554674023427918,8
doin,12.437422917807924,5
;d,15.007973531634072,6
lol,10.512982948818443,8
evening,15.076283074628455,2
lets,13.342841035936276,10
plz,11.767461385285802,8
check,13.21991338002469,9
k,11.37993252788821,5
version,15.575535485084972,6
black,8.883356323627737,15
yellow,13.515513551406034,10
thank,11.558794841821516,4
one,9.533433278575833,8
seems,19.84389109672252,5
sometimes,15.524391042138387,7
help,13.044161193768181,5
yo,8.008441674444011,7
el,10.448414178998913,8
google,43.53561518392824,8
morning,9.048587318569815,6
least,10.663946619404001,6
month,7.7201484897527655,5
ends,16.65023444794787,2
here,12.881209082095939,6
over,9.868621782137211,12
okay,12.229511852251868,9
link,13.742729064389678,4
download,17.76794934898364,4
train,19.596515297631463,5
station,17.073495980291675,8
+,11.95915507168805,5
crazy,12.852652066032087,7
kind,14.089948151919948,5
%,11.634579564911471,8
left,10.135366028322746,5
b,11.460782751217176,8
*,8.953109249176608,7
because,7.457739932593332,7
boys,14.455957430197492,4
…,16.384852048116464,5
huge,14.936390934575156,5
vote,15.569871236178452,6
every,11.393885152040946,6
:d,12.236560677234266,9
i've,9.497969214378827,6
put,11.027240696193674,9
too,11.327737098435847,10
video,9.25264703855723,7
game,16.376444284874474,14
super,18.52646648053831,15
cool,11.287405381217054,5
wonder,10.79165307356334,7
happen,13.89113257181605,6
stop,9.978705872347284,8
shit,9.687304809158507,8
’,12.647303537060745,10
dvd,12.546062237233018,3
set,13.478860027855294,3
plus,15.31017636251371,3
nice,9.171748321386376,7
clean,8.952383445084655,6
before,11.042962108926337,9
everybody,12.934809296545279,7
wants,12.24497200541417,4
hear,10.488534024178094,5
sorry,10.87870797404434,8
else,10.559319191879691,5
enjoy,12.933640407930964,5
congrats,8.725484674570978,3
her,9.305587909888187,8
first,10.560208788599349,9
performance,8.894668011910767,12
group,18.589154374418563,3
:),9.560195722832159,8
meeting,20.802636215033427,7
central,17.718847056621488,5
saturday,17.02972110616658,7
info,13.288208951614315,6
hi,14.145473235343928,4
following,15.792855854154169,6
shout,14.079728974389887,3
always,12.324790347569364,9
welcome,8.743855099880554,6
use,14.641839438366874,4
justin,10.777841159106483,5
gets,12.936957953451605,6
own,12.25856813574805,9
annoying,14.861493771662666,4
night,13.27151034792009,8
boy,11.153281323887558,4
heart,10.669832488869964,5
current,14.37687819295502,6
eating,13.149221047970277,3
going,9.652935986615608,7
called,16.978302871863427,4
says,16.235967377101506,5
web,19.434847529497294,5
calls,16.401286169073817,4
big,9.32177384298162,9
their,9.252436244284118,7
support,13.277695311186742,4
awesome,9.109740325143381,6
2010,17.620992932049802,4
stories,14.767933466741512,4
|,11.750402555053896,6
social,19.265769242841447,9
media,19.90105538480882,4
via,16.276856995044987,10
fire,11.72197735148352,4
free,14.623226383189134,8
air,13.125116155562255,6
update,12.94722193274512,5
today,9.74222890652481,8
next,9.517908158837939,7
which,12.565630650966197,5
other,9.691445614120918,7
design,21.76755774818694,4
sign,10.57218228792772,4
school,23.71834327468129,9
fine,15.35545993354891,8
anything,11.111564805594076,5
nope,16.84694177062972,3
deep,16.727876533545366,6
followed,15.886640237593472,7
oh,9.531102869272363,10
what's,8.488280893194418,5
yea,13.389930935699796,10
dat,10.461491813876357,7
wit,12.159147727784495,7
ya,11.689495859582049,6
looking,11.905153121341492,3
wear,10.923150958933642,4
movie,10.075814185298729,4
kids,10.905966678158313,6
dress,5.400028831447541,10
look,8.190781570703859,7
human,15.380837639064131,4
retweet,12.073641737240662,3
money,11.602070427503882,9
official,14.699453866901942,6
still,9.373888288699078,9
can't,9.12264816209421,7
e,11.9020420285632,6
such,12.501951656618775,7
thing,8.416638722526896,10
already,13.016401738870911,6
his,8.959143825172417,10
face,11.374858474505654,7
ur,11.311254019765924,6
college,9.1213672920959,5
;-),13.41490193798103,6
gonna,10.222091072524776,9
touch,9.906432121111894,3
light,9.94664977201727,7
16,15.1660951809662,5
id,14.887233162149965,4
tv,11.537407813635298,7
phone,12.183820491121153,5
j,11.167086802400476,6
/,11.901655483143445,5
photos,15.920181412085839,5
you've,14.750975508971196,4
person,12.433601460439013,8
#teamfollowback,13.555244037073075,5
past,17.780943123750827,4
bieber,9.121315955619135,5
coming,14.436231862189066,4
ride,15.144825574163246,8
water,16.830896720987063,4
yourself,12.78331558558062,5
being,11.978880786186267,8
family,10.973335832132179,4
might,11.397367948259518,7
part,10.155425094609488,7
earth,17.61365488928439,5
beautiful,12.127003338499563,3
guess,8.842486871214096,9
per,19.51753739918703,6
second,10.755084606180331,9
since,10.196685151968671,9
posted,15.642590195308024,7
youtube,12.32529873074348,5
taylor,12.875510093785332,6
were,8.773746799666494,6
review,16.727957967963388,5
name,12.519928831591546,6
‘,14.07550602393333,8
sing,10.724315653086842,15
little,10.061963937078687,6
ball,11.472528241671634,10
sleepy,18.138294114619228,6
close,11.065443278633914,6
cuz,11.320606244869747,8
totally,9.961706793733853,4
hey,11.747084405576556,8
article,19.43638202419279,4
favorited,14.671133680619578,4
makes,12.853299896842449,7
thinking,11.396851452559076,5
february,11.450443029185479,5
strong,13.885105628999892,5
woman,13.078337470313118,4
13,16.41134624803915,7
they're,9.95989126226101,9
fans,12.35314564195114,12
keep,10.757349717042725,6
watch,11.578311964529187,11
move,7.454317151277157,3
dinner,11.91372550041578,8
mr,5.213821947252018,5
=),12.483974287225438,7
hot,11.913768989764417,4
date,7.901599641284366,6
happy,8.488652177698105,5
birthday,14.277193233174227,3
kiss,13.662337443998153,4
born,10.404358008609925,6
march,16.0651154214551,5
11,13.316341589847072,5
star,8.469660541196937,6
sell,15.624886483699623,4
others,14.430851367344106,6
front,15.367532243298427,5
often,14.805223257060113,4
against,13.090853044485907,5
short,13.527029950846776,5
spend,13.815464001859803,3
wrong,12.267636377499633,7
possible,16.73796325913514,3
sexy,12.98819803029576,4
future,7.133247973854487,4
mix,13.026131595949561,7
london,14.307757937399977,9
white,9.228997145075212,7
mother,14.03258050148713,5
calling,13.48843561005461,4
green,11.113113651755322,10
wanna,9.734614040383347,8
=,12.151879873250211,5
don,16.379942023446365,4
t,12.595523876267993,5
pick,9.826998259111399,8
—,10.933948074380933,5
course,12.720238533814223,7
same,10.314908908523215,9
0,17.70584424629839,6
24,4.680621145673962,7
men,13.875963297467266,4
james,10.886006572141033,3
14,10.440418219342517,6
fact,13.82256304307653,5
cant,10.427721023787312,7
more,14.259064104017856,10
than,9.159968454175267,9
til,18.354858279500988,6
very,13.130893910286877,4
\,14.36447587503604,4
giving,11.737387845592023,8
its,11.716450127843567,11
made,10.500799572896168,8
sad,12.95087462476709,8
each,12.241003122385743,5
bout,10.672088660981125,9
tweeting,9.684259261836688,6
again,10.895661261069838,6
class,22.1075660465476,7
went,11.125922009249612,4
loved,11.735409275164349,9
gay,12.025953124377356,8
season,8.521942188393428,7
instead,10.24035621016543,10
fan,15.521569013588449,12
appreciate,14.855538798125673,3
sunday,21.991731257513848,9
forward,9.108850246822662,5
loves,11.57333019758024,7
easy,17.162510940778425,5
place,13.329212679364016,3
dude,11.473304715484506,8
trying,11.602777929522613,5
child,9.056786223188897,4
fun,12.655325033798995,5
brother,16.43642375976503,5
major,18.489212425382767,7
doesn't,12.436929746579462,8
hurt,10.684745252654906,6
hurts,17.400803878442186,5
fighting,14.458353589720991,3
sounds,8.900936517077959,8
everyone,12.171515106768364,7
lot,11.461055325891383,6
drive,12.721910892534488,7
late,15.31388492633617,5
reply,12.701961610121295,4
leave,11.484159631794807,8
v,12.954454603187198,6
thought,9.186462357487711,10
awkward,16.333329428153156,6
hands,12.21721334346696,6
dream,9.134988642415763,5
stars,17.42528522730634,4
turn,11.96482047409685,5
ok,12.059193921085923,6
behind,10.98349763420067,7
till,11.722233373891298,6
meant,15.900159254301563,5
ask,11.30993942606518,5
truth,13.447865854668349,5
straight,9.664696182751149,3
laugh,13.273066592093844,4
dont,8.63973360393269,9
either,14.042263975051085,10
profile,17.178789180773325,4
city,10.80588961895155,5
jus,12.951225842903119,6
g,10.340685412239804,5
w,11.723352931764142,7
plans,14.330515791623391,3
lives,10.23636387075943,5
planning,13.55158662534541,5
episode,7.727730365240075,5
then,11.089302079921689,6
respect,11.971271617402056,5
met,14.771655077416392,6
become,6.196801036435702,5
news,15.142277617840179,6
#news,15.701718278861973,4
damn,11.1595913275343,8
beat,11.00813777267483,5
could,8.75808741513536,8
end,12.188050110142722,8
6,12.999129826766048,10
say,8.17753852787378,6
im,11.185353434541549,5
lo,14.96152292395756,2
latest,14.35363348524184,5
stay,12.307909255035984,3
home,10.15194746368409,8
national,9.147357487480454,7
security,14.726730141314018,8
reason,13.618146464517901,6
photo,10.816521122131652,5
eyes,9.487570408448889,7
believe,8.101986515100053,7
forever,13.072056638336349,4
haha,9.810039919270803,14
tough,14.492313355185248,5
tears,12.831982989508026,6
smile,14.149375508950426,5
someone,10.65221288524955,4
knows,11.61861810784344,9
feels,13.173185106997606,3
